"TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","SEARCH_CONDITION"
"INGREDIENT_SUBSTITUTIONS","CK_DIFFERENT_INGREDIENT","C","original_ingredient_id != substitute_ingredient_id"
"MEAL_PLANS","SYS_C0012140","C","""USER_ID"" IS NOT NULL"
"MEAL_PLANS","SYS_C0012141","C","""PLAN_NAME"" IS NOT NULL"
"MEAL_PLANS","SYS_C0012147","P",""
"MEAL_PLANS","FK_MEALPLAN_USER","R",""
"MEAL_PLANS","CK_MEAL_PLAN_PUBLIC","C","is_public IN ('Y', 'N')"
"MEAL_PLANS","CK_MEAL_PLAN_DATES","C","start_date <= end_date"
"MEAL_PLANS","SYS_C0012144","C","""IS_PUBLIC"" IS NOT NULL"
"MEAL_PLANS","SYS_C0012143","C","""END_DATE"" IS NOT NULL"
"MEAL_PLANS","SYS_C0012142","C","""START_DATE"" IS NOT NULL"
"MEAL_PLAN_ENTRIES","SYS_C0012149","C","""PLAN_ID"" IS NOT NULL"
"MEAL_PLAN_ENTRIES","FK_MPE_RECIPE","R",""
"MEAL_PLAN_ENTRIES","FK_MPE_PLAN","R",""
"MEAL_PLAN_ENTRIES","CK_MPE_MEAL_TYPE","C","meal_type IN ('breakfast', 'lunch', 'dinner', 'snack')"
"MEAL_PLAN_ENTRIES","SYS_C0012151","C","""MEAL_DATE"" IS NOT NULL"
"MEAL_PLAN_ENTRIES","SYS_C0012150","C","""RECIPE_ID"" IS NOT NULL"
"MEAL_PLAN_ENTRIES","SYS_C0012153","P",""
"NUTRITION_INFO","SYS_C0012036","C","""RECIPE_ID"" IS NOT NULL"
"NUTRITION_INFO","SYS_C0012038","U",""
"NUTRITION_INFO","SYS_C0012037","P",""
"NUTRITION_INFO","FK_NI_RECIPE","R",""
"RATINGS","UK_USER_RECIPE_RATING","U",""
"RATINGS","SYS_C0012055","P",""
"RATINGS","CK_RATING_VALUE","C","rating_value >= 0 AND rating_value <= 5"
"RATINGS","FK_RATINGS_USER","R",""
"RATINGS","SYS_C0012051","C","""USER_ID"" IS NOT NULL"
"RATINGS","SYS_C0012052","C","""RECIPE_ID"" IS NOT NULL"
"RATINGS","SYS_C0012053","C","""RATING_VALUE"" IS NOT NULL"
"RATINGS","FK_RATINGS_RECIPE","R",""
"RATING_HELPFULNESS","FK_RH_USER","R",""
"RATING_HELPFULNESS","SYS_C0012061","P",""
"RATING_HELPFULNESS","SYS_C0012060","C","""USER_ID"" IS NOT NULL"
"RATING_HELPFULNESS","SYS_C0012059","C","""RATING_ID"" IS NOT NULL"
"RATING_HELPFULNESS","FK_RH_RATING","R",""
"RECIPES","SYS_C0012011","C","""USER_ID"" IS NOT NULL"
"RECIPES","SYS_C0012012","C","""RECIPE_NAME"" IS NOT NULL"
"RECIPES","SYS_C0012013","C","""IS_PUBLISHED"" IS NOT NULL"
"RECIPES","SYS_C0012014","C","""IS_DELETED"" IS NOT NULL"
"RECIPES","CK_MEAL_TYPE","C","meal_type IN ('breakfast', 'lunch', 'dinner', 'snack', 'dessert')"
"RECIPES","CK_DIFFICULTY_LEVEL","C","difficulty_level IN ('easy', 'medium', 'hard')"
"RECIPES","CK_IS_PUBLISHED","C","is_published IN ('Y', 'N')"
"RECIPES","CK_IS_DELETED","C","is_deleted IN ('Y', 'N')"
"RECIPES","CK_COOK_TIME","C","cook_time > 0"
"RECIPES","FK_RECIPES_USER","R",""
"RECIPES","SYS_C0012020","P",""
"RECIPE_COLLECTIONS","SYS_C0012110","C","""IS_PUBLIC"" IS NOT NULL"
"RECIPE_COLLECTIONS","SYS_C0012108","C","""USER_ID"" IS NOT NULL"
"RECIPE_COLLECTIONS","SYS_C0012109","C","""COLLECTION_NAME"" IS NOT NULL"
"RECIPE_COLLECTIONS","CK_IS_PUBLIC","C","is_public IN ('Y', 'N')"
"RECIPE_COLLECTIONS","SYS_C0012112","P",""
"RECIPE_COLLECTIONS","FK_COLLECTION_USER","R",""
"RECIPE_INGREDIENTS","FK_RI_UNIT","R",""
"RECIPE_INGREDIENTS","FK_RI_INGREDIENT","R",""
"RECIPE_INGREDIENTS","SYS_C0012026","P",""
"RECIPE_INGREDIENTS","SYS_C0012022","C","""RECIPE_ID"" IS NOT NULL"
"RECIPE_INGREDIENTS","FK_RI_RECIPE","R",""
"RECIPE_INGREDIENTS","SYS_C0012025","C","""QUANTITY"" IS NOT NULL"
"RECIPE_INGREDIENTS","SYS_C0012024","C","""UNIT_ID"" IS NOT NULL"
"RECIPE_INGREDIENTS","SYS_C0012023","C","""INGREDIENT_ID"" IS NOT NULL"
"RECIPE_TAGS","FK_RT_RECIPE","R",""
"RECIPE_TAGS","SYS_C0012101","P",""
"RECIPE_TAGS","SYS_C0012100","C","""TAG_ID"" IS NOT NULL"
"RECIPE_TAGS","SYS_C0012099","C","""RECIPE_ID"" IS NOT NULL"
"RECIPE_TAGS","FK_RT_TAG","R",""
"SAVED_RECIPES","FK_SR_RECIPE","R",""
"SAVED_RECIPES","FK_SR_USER","R",""
"SAVED_RECIPES","SYS_C0012083","C","""RECIPE_ID"" IS NOT NULL"
"SAVED_RECIPES","SYS_C0012082","C","""USER_ID"" IS NOT NULL"
"SAVED_RECIPES","UK_USER_SAVED_RECIPE","U",""
"SAVED_RECIPES","SYS_C0012084","P",""
"SHOPPING_LISTS","SYS_C0012121","P",""
"SHOPPING_LISTS","FK_SHOPLIST_USER","R",""
"SHOPPING_LISTS","SYS_C0012120","C","""LIST_NAME"" IS NOT NULL"
"SHOPPING_LISTS","SYS_C0012119","C","""USER_ID"" IS NOT NULL"
"SHOPPING_LIST_ITEMS","SYS_C0012125","C","""IS_CHECKED"" IS NOT NULL"
"SHOPPING_LIST_ITEMS","CK_IS_CHECKED","C","is_checked IN ('Y', 'N')"
"SHOPPING_LIST_ITEMS","SYS_C0012123","C","""LIST_ID"" IS NOT NULL"
"SHOPPING_LIST_ITEMS","SYS_C0012127","P",""
"SHOPPING_LIST_ITEMS","FK_SLI_INGREDIENT","R",""
"SHOPPING_LIST_ITEMS","FK_SLI_UNIT","R",""
"SHOPPING_LIST_ITEMS","FK_SLI_LIST","R",""
"SHOPPING_LIST_ITEMS","SYS_C0012124","C","""INGREDIENT_ID"" IS NOT NULL"
"TAGS","SYS_C0012010","U",""
"TAGS","SYS_C0012009","P",""
"TAGS","SYS_C0012008","C","""TAG_NAME"" IS NOT NULL"
"UNITS","SYS_C0012002","C","""UNIT_NAME"" IS NOT NULL"
"UNITS","SYS_C0012003","P",""
"UNITS","SYS_C0012004","U",""
"USERS","SYS_C0011995","P",""
"USERS","SYS_C0011989","C","""USERNAME"" IS NOT NULL"
"USERS","CK_ACCOUNT_STATUS","C","account_status IN ('active', 'inactive', 'suspended')"
"USERS","SYS_C0011996","U",""
"USERS","SYS_C0011997","U",""
"USERS","SYS_C0011991","C","""PASSWORD_HASH"" IS NOT NULL"
"USERS","SYS_C0011992","C","""JOIN_DATE"" IS NOT NULL"
"USERS","SYS_C0011993","C","""ACCOUNT_STATUS"" IS NOT NULL"
"USERS","SYS_C0011990","C","""EMAIL"" IS NOT NULL"
"USER_ACTIVITY_LOG","FK_UAL_USER","R",""
"USER_ACTIVITY_LOG","SYS_C0012104","C","""USER_ID"" IS NOT NULL"
"USER_ACTIVITY_LOG","FK_UAL_RECIPE","R",""
"USER_ACTIVITY_LOG","SYS_C0012105","P",""
"USER_ALLERGIES","SYS_C0012095","C","""ALLERGEN_ID"" IS NOT NULL"
"USER_ALLERGIES","SYS_C0012096","P",""
"USER_ALLERGIES","FK_UA_USER","R",""
"USER_ALLERGIES","FK_UA_ALLERGEN","R",""
"USER_ALLERGIES","SYS_C0012094","C","""USER_ID"" IS NOT NULL"
