"INGREDIENT_ID","INGREDIENT_NAME","CATEGORY","DESCRIPTION","CREATED_AT"
33,"排骨","肉类","带骨的肋骨",18-DEC-25 03.29.20.261000000 PM
34,"猪肝","肉类","富含铁和维生素",18-DEC-25 03.29.20.261000000 PM
35,"牛肉","肉类","营养丰富的红肉",18-DEC-25 03.29.20.261000000 PM
36,"牛腩","肉类","牛肉的腹部",18-DEC-25 03.29.20.261000000 PM
37,"牛排","肉类","高档牛肉",18-DEC-25 03.29.20.261000000 PM
38,"梅花肉","肉类","牛肉的肩胛部分",18-DEC-25 03.29.20.261000000 PM
39,"羊肉","肉类","温阳补气",18-DEC-25 03.29.20.261000000 PM
40,"羊腿","肉类","羊肉的腿部",18-DEC-25 03.29.20.261000000 PM
41,"羊排","肉类","羊的肋骨",18-DEC-25 03.29.20.261000000 PM
42,"虾","肉类","海鲜，低脂高蛋白",18-DEC-25 03.29.20.261000000 PM
43,"鱼","肉类","白肉鱼类",18-DEC-25 03.29.20.261000000 PM
44,"三文鱼","肉类","含丰富omega-3脂肪酸",18-DEC-25 03.29.20.261000000 PM
45,"蟹","肉类","海鲜，美味营养",18-DEC-25 03.29.20.261000000 PM
46,"贝类","肉类","海鲜贝类",18-DEC-25 03.29.20.261000000 PM
47,"盐","调味料","基础调味料",18-DEC-25 03.29.27.410000000 PM
48,"糖","调味料","甜味来源",18-DEC-25 03.29.27.410000000 PM
49,"酱油","调味料","传统调味料",18-DEC-25 03.29.27.410000000 PM
50,"醋","调味料","酸味来源",18-DEC-25 03.29.27.410000000 PM
51,"油","调味料","烹饪用油",18-DEC-25 03.29.27.410000000 PM
52,"植物油","调味料","植物类烹饪油",18-DEC-25 03.29.27.410000000 PM
53,"辣椒粉","调味料","香辣调味",18-DEC-25 03.29.27.410000000 PM
54,"咖喱粉","调味料","香料混合",18-DEC-25 03.29.27.410000000 PM
55,"孜然","调味料","香料",18-DEC-25 03.29.27.410000000 PM
56,"香叶","调味料","烹饪香料",18-DEC-25 03.29.27.410000000 PM
57,"八角","调味料","香料，八角形",18-DEC-25 03.29.27.410000000 PM
58,"黄酒","调味料","烹饪用酒",18-DEC-25 03.29.27.410000000 PM
59,"豆瓣酱","调味料","咸味酱料",18-DEC-25 03.29.27.410000000 PM
60,"番茄酱","调味料","番茄制品",18-DEC-25 03.29.27.410000000 PM
61,"味精","调味料","鲜味增强剂",18-DEC-25 03.29.27.410000000 PM
62,"牛奶","乳制品","新鲜牛奶",18-DEC-25 03.29.32.635000000 PM
63,"黄油","乳制品","乳脂提取",18-DEC-25 03.29.32.635000000 PM
64,"奶酪","乳制品","发酵乳制品",18-DEC-25 03.29.32.635000000 PM
65,"酸奶","乳制品","益生菌乳制品",18-DEC-25 03.29.32.635000000 PM
66,"淡奶油","乳制品","烹饪用奶油",18-DEC-25 03.29.32.635000000 PM
67,"牛奶粉","乳制品","干制牛奶",18-DEC-25 03.29.32.635000000 PM
68,"炼乳","乳制品","浓缩牛奶",18-DEC-25 03.29.32.635000000 PM
69,"马苏里拉奶酪","乳制品","披萨常用",18-DEC-25 03.29.32.635000000 PM
70,"帕玛森芝士","乳制品","意大利奶酪",18-DEC-25 03.29.32.635000000 PM
71,"羊奶","乳制品","山羊奶",18-DEC-25 03.29.32.635000000 PM
87,"鸡蛋","其他","优质蛋白",18-DEC-25 03.30.35.609000000 PM
88,"面包","其他","烘焙食品",18-DEC-25 03.30.35.609000000 PM
89,"巧克力","其他","甜味料",18-DEC-25 03.30.35.609000000 PM
90,"果酱","其他","果实制品",18-DEC-25 03.30.35.609000000 PM
91,"蜂蜜","其他","天然甜味剂",18-DEC-25 03.30.35.609000000 PM
92,"坚果","其他","营养零食",18-DEC-25 03.30.35.609000000 PM
93,"葡萄干","其他","干果",18-DEC-25 03.30.35.609000000 PM
94,"腰果","其他","坚果",18-DEC-25 03.30.35.609000000 PM
95,"杏仁","其他","坚果",18-DEC-25 03.30.35.609000000 PM
96,"松子","其他","坚果",18-DEC-25 03.30.35.609000000 PM
97,"香草精","其他","烘焙香料",18-DEC-25 03.30.35.609000000 PM
98,"肉桂","其他","香料粉",18-DEC-25 03.30.35.609000000 PM
99,"姜粉","其他","香料粉",18-DEC-25 03.30.35.609000000 PM
100,"黑胡椒","其他","香料",18-DEC-25 03.30.35.609000000 PM
101,"白胡椒","其他","香料",18-DEC-25 03.30.35.609000000 PM
102,"白米","谷物","日常主食",18-DEC-25 03.30.56.828000000 PM
103,"黑米","谷物","营养米类",18-DEC-25 03.30.56.828000000 PM
104,"糯米","谷物","粘性米",18-DEC-25 03.30.56.828000000 PM
105,"面粉","谷物","小麦粉",18-DEC-25 03.30.56.828000000 PM
106,"面条","谷物","面食",18-DEC-25 03.30.56.828000000 PM
107,"馄饨皮","谷物","馄饨制作用",18-DEC-25 03.30.56.828000000 PM
108,"饺子皮","谷物","饺子制作用",18-DEC-25 03.30.56.828000000 PM
109,"燕麦","谷物","燕麦粥原料",18-DEC-25 03.30.56.828000000 PM
110,"大豆","谷物","豆类谷物",18-DEC-25 03.30.56.828000000 PM
111,"绿豆","谷物","豆类",18-DEC-25 03.30.56.828000000 PM
112,"红豆","谷物","豆类",18-DEC-25 03.30.56.828000000 PM
113,"黑豆","谷物","豆类",18-DEC-25 03.30.56.828000000 PM
114,"花生","谷物","坚果豆类",18-DEC-25 03.30.56.828000000 PM
115,"芝麻","谷物","油料作物",18-DEC-25 03.30.56.828000000 PM
